model,mlir_baseline,pytorch_eager,pytorch_jit,mlir_rl_v0,mlir_rl_v45,v0_speedup,v45_speedup,count,v0_speedup_calc,v45_speedup_calc,pytorch_eager_speedup,pytorch_jit_speedup
Bench 1444,-1.0,777595754.0,778596479.0,,,,,1,,,-1.2860152525987171e-09,-1.28436234554305e-09
Bench 1459,4955075880.0,69945.0,79592.0,2073949687.0,21539985983.0,2.3892,0.23,1,2.3891977279196164,0.23004081265004972,70842.4602187433,62255.95386471002
Bench 146,679969492.0,402899388.0,402853903.0,850550337.0,2496068435.0,0.7994,0.2724,1,0.799446502364974,0.2724162056077601,1.6876905556381734,1.6878811076083828
Bench 1466,6738309500.0,440435.0,448108.0,2017441743.0,15810430479.0,3.34,0.4262,1,3.3400268054233475,0.4261939299470734,15299.214413023488,15037.244369660886
Bench 1502,3403699262.0,123782.0,131427.0,1364920421.0,15412805080.0,2.4937,0.2208,1,2.493697954571082,0.22083580790992524,27497.530028598667,25898.02142634314
Bench 1503,795324.0,18490.0,28193.0,50303216.0,1670021.0,0.0158,0.4762,1,0.015810599465449684,0.47623592757216826,43.01373715521904,28.20998120100734
Bench 1504,30332713.0,71642.0,78312.0,111414820.0,55540346.0,0.2723,0.5461,1,0.2722502536018099,0.5461383513887363,423.3928840624215,387.33160945959753
Bench 1512,617761.0,15659.0,24899.0,75263433.0,854185.0,0.0082,0.7232,1,0.008207983284525435,0.723216867540404,39.45085893096622,24.81067512751516
Bench 155,99000589.0,1003967.0,1012860.0,42859139.0,119418367.0,2.3099,0.829,1,2.3099061556042924,0.8290231351095263,98.60940548842741,97.74360622395987
Bench 156,2133474958.0,770756198.0,770984046.0,3542983392.0,6382404756.0,0.6022,0.3343,1,0.6021690541415894,0.3342744685683485,2.768028286423199,2.767210254309205
Bench 1567,2145479.0,26383.0,35320.0,60044367.0,3447083.0,0.0357,0.6224,1,0.035731561630085965,0.6224042182912335,81.32050941894401,60.74402604756512
Bench 1577,2377379825.0,15400444.0,15389331.0,559507488.0,11511048892.0,4.2491,0.2065,1,4.249058101971282,0.20653025170036782,154.37086261928553,154.48233747132997
Bench 1584,11239429.0,70929.0,79157.0,34083544.0,15566483.0,0.3298,0.722,1,0.32976115981366255,0.722027512573007,158.46027717858703,141.98907234988692
Bench 1587,2000518337.0,701716241.0,701668113.0,254063927.0,4122615703.0,7.8741,0.4853,1,7.8740746890840585,0.48525462500524513,2.8508935950365157,2.85108914020153
Bench 161,2372195377.0,2953164637.0,3005330075.0,2310231533.0,11505016144.0,1.0268,0.2062,1,1.0268214865544387,0.206187922494757,0.8032723090609052,0.7893293973707697
Bench 1611,69764438.0,333947.0,342504.0,64907558.0,109629620.0,1.0748,0.6364,1,1.0748276495011566,0.6363648619779946,208.9087130592579,203.68941092658773
Bench 1615,312785.0,5665.0,11160.0,35558313.0,392612.0,0.0088,0.7967,1,0.008796395937006348,0.7966771265269528,55.213592233009706,28.02732974910394
Bench 1621,-1.0,474745337.0,475133664.0,,,,,1,,,-2.1063924636294005e-09,-2.104670907932131e-09
Bench 1637,35388720.0,12259036.0,12262521.0,80068103.0,70292052.0,0.442,0.5035,1,0.4419827456134436,0.5034526520864692,2.8867457441188686,2.885925332971907
Bench 1664,461773.0,80393.0,85596.0,20367388.0,759025.0,0.0227,0.6084,1,0.022672175735052525,0.6083765356872304,5.743945368377844,5.3947964858170945
Bench 1666,1836841079.0,11661838.0,11646934.0,489957640.0,3688740224.0,3.749,0.498,1,3.7489793587053772,0.49795891482110505,157.50871166277562,157.71026769791948
Bench 1670,859823629.0,32286.0,39524.0,493186590.0,4076855840.0,1.7434,0.2109,1,1.7434043147847957,0.21090361365340796,26631.469646286318,21754.468904969133
Bench 1676,3552685302.0,281032257.0,281140141.0,388265571.0,8711152951.0,9.1501,0.4078,1,9.150142498728016,0.40783181307729977,12.641557022402592,12.636705983582758
Bench 1680,40051530.0,75879163.0,77617269.0,99933768.0,48053897.0,0.4008,0.8335,1,0.4007807451030967,0.8334710086051917,0.5278330495026679,0.5160131310469066
Bench 1705,710228719.0,463422340.0,463512111.0,1054004505.0,1303156002.0,0.6738,0.545,1,0.6738384092580325,0.5450066744963662,1.5325733304095785,1.5322765083046557
